time,temperature,humidity,water,soilmoisture
1/1/1970 0:01,21.34,50.74,2,2.53
1/1/1970 0:01,24.16,44.95,1,18.23
1/1/1970 0:01,20.82,59.18,0,51.12
1/1/1970 0:01,29.21,52.71,3,50.51
1/1/1970 0:01,28.73,53.42,2,98.28
1/1/1970 0:01,20.79,45.71,1,28.26
1/1/1970 0:01,24.98,40.61,0,73.53
1/1/1970 0:01,26.4,46.71,3,18.78
1/1/1970 0:01,27.07,57.49,2,27.45
1/1/1970 0:01,28.59,44.75,1,33.21
1/1/1970 0:01,24.32,55.33,0,55.66
1/1/1970 0:01,21.16,50.83,3,67.3
1/1/1970 0:01,25.93,53.74,2,94.7
1/1/1970 0:01,28.66,53.43,1,53.72
1/1/1970 0:01,26.21,43.57,0,65.16
1/1/1970 0:01,20.83,47.7,3,69.84
1/1/1970 0:01,28.7,41.56,2,21.07
1/1/1970 0:01,28.37,42.89,1,20.15
1/1/1970 0:01,27.98,59.35,0,10.99
1/1/1970 0:01,29.24,41.45,3,27.48
1/1/1970 0:01,25.14,48.32,2,41.97
1/1/1970 0:01,25.04,53.89,1,68.17
1/1/1970 0:01,21.52,52.95,0,24.57
1/1/1970 0:01,20.93,58.08,3,10.9
1/1/1970 0:01,29.6,52.34,2,78.79
1/1/1970 0:01,22.85,56.13,1,62.7
1/1/1970 0:01,25.04,54.35,0,28.14
1/1/1970 0:01,21.92,43.36,3,45.21
1/1/1970 0:02,20.25,53.17,2,54.51
1/1/1970 0:02,29.41,40.27,1,14.42
1/1/1970 0:02,29.38,50.28,0,70
1/1/1970 0:02,28.09,41.39,3,81.79
1/1/1970 0:02,22.1,50.84,2,3.79
1/1/1970 0:02,21.78,50.29,1,66.02
1/1/1970 0:02,22.81,51.22,0,59.94
1/1/1970 0:02,28.02,57.35,3,29.58
1/1/1970 0:02,22.16,43.55,2,80.75
1/1/1970 0:02,21.62,54.06,1,38.93
1/1/1970 0:02,24.93,45.19,0,86.68
1/1/1970 0:02,20.52,58.01,3,66.06
1/1/1970 0:02,29.83,44.75,2,95.65
1/1/1970 0:02,26.04,40.85,1,32.39
1/1/1970 0:02,25.15,47.99,0,39.72
1/1/1970 0:02,26.49,49.99,3,65.61
1/1/1970 0:02,21.69,45.59,2,61.07
1/1/1970 0:02,26.2,56.67,1,3.65
1/1/1970 0:02,29.61,57.57,0,37.57
1/1/1970 0:02,29.77,58.67,3,68.06
1/1/1970 0:02,24.34,41.44,2,66.06
1/1/1970 0:02,26.68,46.73,1,15.14
1/1/1970 0:02,20.19,41,0,51.09
1/1/1970 0:02,20.39,51.66,3,35.41
1/1/1970 0:02,29.16,56.07,2,40.84
1/1/1970 0:02,28.93,55.83,1,90.46
1/1/1970 0:02,22.01,52.69,0,53.15
1/1/1970 0:02,27.76,55.2,3,62.85
1/1/1970 0:02,28.36,42.31,2,48.31
1/1/1970 0:02,27.48,47.57,1,25.78
1/1/1970 0:02,24.52,49.39,0,47.93
1/1/1970 0:02,24.84,44.26,3,80.38
1/1/1970 0:02,23.28,51.49,2,11.14
1/1/1970 0:02,26.49,44.38,1,69.15
1/1/1970 0:02,25.89,44.6,0,31.93
1/1/1970 0:02,28.6,40.62,3,22.42
1/1/1970 0:02,24.74,52.42,2,24.43
1/1/1970 0:02,25.2,56.2,1,28.2
1/1/1970 0:02,26.77,55.27,0,51.22
1/1/1970 0:02,22.92,57.53,3,89.42
1/1/1970 0:02,21.22,41.94,2,66.72
1/1/1970 0:02,24.1,57.49,1,88.47
1/1/1970 0:02,25.12,40.35,0,26.3
1/1/1970 0:02,26.45,46.62,3,13.01
1/1/1970 0:02,24.01,57.56,2,46.54
1/1/1970 0:02,21.39,59.91,1,81.61
1/1/1970 0:02,24.12,59.82,0,58.54
1/1/1970 0:02,23.16,50.45,3,30.99
1/1/1970 0:02,24.6,54.17,2,15.68
1/1/1970 0:02,28.2,50.99,1,58.65
1/1/1970 0:02,24.48,44.83,0,9.13
1/1/1970 0:02,29.96,48.03,3,16.49
1/1/1970 0:02,27.2,53.66,2,42.67
1/1/1970 0:02,26.16,41.54,1,58.58
1/1/1970 0:02,22.23,42.37,0,79.9
1/1/1970 0:02,27.9,58.69,3,62.48
1/1/1970 0:02,27.47,52.88,2,27.24
1/1/1970 0:02,27.16,53.71,1,8.4
1/1/1970 0:02,24.39,43.63,0,86.63
1/1/1970 0:02,28.83,55.2,3,44.35
1/1/1970 0:03,23.88,59.58,2,98.29
1/1/1970 0:03,26.24,54.8,1,67.77
1/1/1970 0:03,21.44,40.36,0,43.73
1/1/1970 0:03,24.88,57.98,3,99.61
1/1/1970 0:03,22.09,41.1,2,78.36
1/1/1970 0:03,23.12,45.24,1,94.47
1/1/1970 0:03,29.4,53.64,0,60.44
1/1/1970 0:03,25.33,47.94,3,66.62
1/1/1970 0:03,25.19,53.17,2,44.1
1/1/1970 0:03,24.12,57.15,1,25.04
1/1/1970 0:03,24.94,44.03,0,87.81
1/1/1970 0:03,29.5,57.76,3,53.66
1/1/1970 0:03,29.18,47,2,7.6
1/1/1970 0:03,20.24,40.25,1,76.09
1/1/1970 0:03,20.53,57.52,0,51.6
1/1/1970 0:03,22.24,59.83,3,64.11
1/1/1970 0:03,23.56,42.02,2,90.68
1/1/1970 0:03,28.34,45.77,1,37.34
1/1/1970 0:03,25.78,52.44,0,37.38
1/1/1970 0:03,28.45,59.28,3,46.99
1/1/1970 0:03,25.82,41.9,2,8.63
1/1/1970 0:03,25.16,44.56,1,84.23
1/1/1970 0:03,23.98,49.06,0,97.99
1/1/1970 0:03,21.64,48.76,3,60.01
1/1/1970 0:03,20.42,44.03,2,5.11
1/1/1970 0:03,25.67,48.14,1,54.66
1/1/1970 0:03,22.93,53.81,0,23.43
1/1/1970 0:03,24.29,45.25,3,34.01
1/1/1970 0:03,29.66,55.79,2,56.51
1/1/1970 0:03,23.98,52.41,1,36.86
1/1/1970 0:03,22.64,45.57,0,98.79
1/1/1970 0:03,20.28,53.13,3,81.43
1/1/1970 0:03,24.08,46.65,2,98.58
1/1/1970 0:03,25.62,42.59,1,86.19
1/1/1970 0:03,23.21,59.42,0,12.98
1/1/1970 0:03,22.41,42.58,3,25.92
1/1/1970 0:03,25.95,40.55,2,86.29
1/1/1970 0:03,28.24,40.34,1,75.58
1/1/1970 0:03,21.7,46.65,0,60.17
1/1/1970 0:03,24.98,49.59,3,7.93
1/1/1970 0:03,21.75,44.96,2,22.54
1/1/1970 0:03,25.29,53.13,1,8.07
1/1/1970 0:03,23.18,47.42,0,54.13
1/1/1970 0:03,27.85,47.95,3,62.21
1/1/1970 0:03,22.31,52.08,2,41.26
1/1/1970 0:03,29.3,54.92,1,96.14
1/1/1970 0:03,22.64,41.2,0,74.78
1/1/1970 0:03,22.65,51.36,3,46.29
1/1/1970 0:03,26.39,41.86,2,8.54
1/1/1970 0:03,23.92,45.25,1,62.59
1/1/1970 0:03,29.56,57.55,0,51.26
1/1/1970 0:03,26.8,52.94,3,55.92
1/1/1970 0:03,29.79,40.44,2,71.41
1/1/1970 0:03,21.82,57.47,1,58.54
1/1/1970 0:03,28.38,43.81,0,75.57
1/1/1970 0:03,26.93,47.52,3,17.12
1/1/1970 0:03,28.93,49.66,2,67.83
1/1/1970 0:03,20.09,58.39,1,69.3
1/1/1970 0:03,24.06,53.24,0,59.74
1/1/1970 0:03,28.28,44.5,3,52.24
1/1/1970 0:04,25.27,45.17,2,79.66
1/1/1970 0:04,21.47,50.24,1,97.48
1/1/1970 0:04,26.01,54.2,0,64.3
1/1/1970 0:04,26.04,54.45,3,79.81
1/1/1970 0:04,27.53,50.87,2,62.07
1/1/1970 0:04,28.24,53.98,1,45.07
1/1/1970 0:04,24.45,40.02,0,97.54
1/1/1970 0:04,23.41,57.86,3,60.19
1/1/1970 0:04,20.12,48.52,2,79.11
1/1/1970 0:04,26.56,44.46,1,85.2
1/1/1970 0:04,22.09,53.63,0,71.74
1/1/1970 0:04,28.49,44.38,3,56.12
1/1/1970 0:04,28.14,49.22,2,37.65
1/1/1970 0:04,22.05,42.98,1,23.21
1/1/1970 0:04,25.26,48.43,0,64.21
1/1/1970 0:04,22.57,43.68,3,91.36
1/1/1970 0:04,22.4,53.99,2,49.6
1/1/1970 0:04,25.15,40.45,1,56.88
1/1/1970 0:04,22.94,46.5,0,63.56
1/1/1970 0:04,27.46,48.32,3,23.98
1/1/1970 0:04,20.71,50.93,2,8.25
1/1/1970 0:04,29.86,59.19,1,25.55
1/1/1970 0:04,28.13,51.72,0,50.31
1/1/1970 0:04,23.33,42.39,3,48.37
1/1/1970 0:04,25.66,42.54,2,98.71
1/1/1970 0:04,26.68,50.24,1,85.25
1/1/1970 0:04,26.83,52.93,0,58.58
1/1/1970 0:04,23.55,45.21,3,38.79
1/1/1970 0:04,29.39,43.76,2,18.49
1/1/1970 0:04,25,52.17,1,75.44
1/1/1970 0:04,25.06,56.99,0,72.48
1/1/1970 0:04,29.81,52.66,3,39.42
1/1/1970 0:04,21.43,40.57,2,10.5
1/1/1970 0:04,23.24,56.84,1,29.29
1/1/1970 0:04,26.9,51.45,0,96.57
1/1/1970 0:04,23.54,54.43,3,24.95
1/1/1970 0:04,20.48,55.69,2,44.07
1/1/1970 0:04,21.71,57.52,1,33.28
1/1/1970 0:04,24.99,44.33,0,74.01
1/1/1970 0:04,25.13,41.19,3,23.37
1/1/1970 0:04,29.26,57.19,2,14.22
1/1/1970 0:04,29.5,55.56,1,78.88
1/1/1970 0:04,23.35,42.68,0,64.66
1/1/1970 0:04,22.22,43.57,3,47.58
1/1/1970 0:04,24.21,48.07,2,35.96
1/1/1970 0:04,24.42,59.54,1,15.47
1/1/1970 0:04,25.08,49.17,0,94.94
1/1/1970 0:04,24.31,47.21,3,34.81
1/1/1970 0:04,21.95,50.08,2,88.89
1/1/1970 0:04,28.85,54.6,1,15.32
1/1/1970 0:04,23.16,50.56,0,42.73
1/1/1970 0:04,27.35,58.53,3,79.48
1/1/1970 0:04,29.56,42.73,2,47.08
1/1/1970 0:04,23.47,44.95,1,33.54
1/1/1970 0:04,20.66,51.25,0,48.13
1/1/1970 0:04,29.18,57.61,3,46.11
1/1/1970 0:04,26.32,56.45,2,63.11
1/1/1970 0:04,26.63,43.09,1,97.61
1/1/1970 0:04,29.61,51.53,0,67.78
1/1/1970 0:05,26.72,40.2,3,74.13
1/1/1970 0:05,23.74,55.98,2,92.18
1/1/1970 0:05,26.44,49.62,1,4.46
1/1/1970 0:05,26.04,57.46,0,30.43
1/1/1970 0:05,28.13,58.36,3,35.25
1/1/1970 0:05,29.47,43.27,2,68.48
1/1/1970 0:05,27.6,46.52,1,95.24
1/1/1970 0:05,20.66,58.79,0,17.89
1/1/1970 0:05,29.39,49.77,3,16.04
1/1/1970 0:05,22.05,52.22,2,3.32
1/1/1970 0:05,29.74,47.18,1,53.95
1/1/1970 0:05,22.61,47.96,0,12.29
1/1/1970 0:05,28.65,50.04,3,54.01
1/1/1970 0:05,28.85,53.63,2,37.34
1/1/1970 0:05,23.44,41.73,1,90.91
1/1/1970 0:05,27.63,53.18,0,47.99
1/1/1970 0:05,21.54,57.34,3,57.91
1/1/1970 0:05,26.16,54.01,2,41.96
1/1/1970 0:05,23.78,55.1,1,7.61
1/1/1970 0:05,22.62,51.42,0,99.69
1/1/1970 0:05,23.7,59.1,3,79.66
1/1/1970 0:05,28.5,47.51,2,66.78
1/1/1970 0:05,27.75,54.47,1,75.83
1/1/1970 0:05,21.26,55.15,0,78.38
1/1/1970 0:05,24.56,48.97,3,47.17
1/1/1970 0:05,24.73,53.53,2,37.63
1/1/1970 0:05,22.88,41.8,1,54.49
1/1/1970 0:05,25.63,46.28,0,1.17
1/1/1970 0:05,24.79,49.37,3,44.68
1/1/1970 0:05,28.36,42.97,2,68.38
1/1/1970 0:05,25.77,40.76,1,93.68
1/1/1970 0:05,25.61,46.05,0,11.47
1/1/1970 0:05,26.16,49.52,3,54.91
1/1/1970 0:05,25.73,40.43,2,53.74
1/1/1970 0:05,23.54,55.74,1,8.41
1/1/1970 0:05,20.46,51.61,0,33.56
1/1/1970 0:05,20.93,55.22,3,17.7
1/1/1970 0:05,27.09,57.66,2,60.57
1/1/1970 0:05,26.05,59.91,1,24.31
1/1/1970 0:05,23.46,57.18,0,7.8
1/1/1970 0:05,24.05,57.88,3,15.34
1/1/1970 0:05,28.94,50.69,2,98.89
1/1/1970 0:05,23.18,50.35,1,84.36
1/1/1970 0:05,20.81,49.15,0,44.13
1/1/1970 0:05,28.14,56.71,3,53.19
1/1/1970 0:05,25.65,40.76,2,31.53
1/1/1970 0:05,22.63,48.05,1,28.43
1/1/1970 0:05,29.23,47.72,0,96.58
1/1/1970 0:05,26.84,48.85,3,62.21
1/1/1970 0:05,28.85,46.03,2,79.58
1/1/1970 0:05,21.61,54.01,1,60.54
1/1/1970 0:05,21.2,51.29,0,84.74
1/1/1970 0:05,25.63,45.42,3,62.86
1/1/1970 0:05,20.31,52.49,2,25.24
1/1/1970 0:05,29.67,48.35,1,15.78
1/1/1970 0:05,26.47,46.8,0,9.01
1/1/1970 0:05,22.36,56.78,3,56.63
1/1/1970 0:05,27.5,47.66,2,72.58
1/1/1970 0:05,25.3,50.35,1,84.12
1/1/1970 0:05,20.3,45.77,0,91.27
1/1/1970 0:06,27.89,43.02,3,14.85
1/1/1970 0:06,27.59,44.77,2,38.1
1/1/1970 0:06,22.34,57.58,1,89
1/1/1970 0:06,25.03,57.26,0,87.78
1/1/1970 0:06,23.99,55.67,3,59.35
1/1/1970 0:06,21.88,41.83,2,54.37
1/1/1970 0:06,23.75,45.53,1,74.54
1/1/1970 0:06,21.6,52.29,0,6.04
1/1/1970 0:06,25.37,42.22,3,30.45
1/1/1970 0:06,29.95,40.56,2,63.3
1/1/1970 0:06,26.65,58.39,1,6.91
1/1/1970 0:06,29.73,59.08,0,68.13
1/1/1970 0:06,27.1,52.58,3,23.19
1/1/1970 0:06,29.1,55.47,2,22.91
1/1/1970 0:06,28.73,42.01,1,14.52
1/1/1970 0:06,25.92,54.46,0,79.77
1/1/1970 0:06,23.54,59.92,3,64.09
1/1/1970 0:06,21.7,52.16,2,41.87
1/1/1970 0:06,26.01,45.54,1,70.35
1/1/1970 0:06,27.87,43.73,0,39.92
1/1/1970 0:06,27.07,51.11,3,99.38
1/1/1970 0:06,25.9,51.16,2,91.12
1/1/1970 0:06,20.44,43.14,1,22.41
1/1/1970 0:06,27.49,48.86,0,82.81
1/1/1970 0:06,21.33,45.3,3,69.87
1/1/1970 0:06,24.4,55.34,2,98.31
1/1/1970 0:06,20.59,56.21,1,41.39
1/1/1970 0:06,24.02,55.17,0,92.59
1/1/1970 0:06,25.71,50.09,3,32.21
1/1/1970 0:06,22.71,50.17,2,40.06
1/1/1970 0:06,23.3,42.06,1,48.1
1/1/1970 0:06,28.53,42,0,31.2
1/1/1970 0:06,25.74,59.85,3,19.62
1/1/1970 0:06,29.71,52.94,2,52.28
1/1/1970 0:06,26.33,43.29,1,45.08
1/1/1970 0:06,24.87,40.41,0,61.67
1/1/1970 0:06,21.6,43.45,3,88.74
1/1/1970 0:06,22.88,53.03,2,72.96
1/1/1970 0:06,24.75,53.86,1,96.35
1/1/1970 0:06,22.56,48.13,0,81.06
1/1/1970 0:06,28.55,58.58,3,38.49
1/1/1970 0:06,26.48,48.02,2,88.18
1/1/1970 0:06,27.63,52.74,1,64.23
1/1/1970 0:06,28.98,44.44,0,61.12
1/1/1970 0:06,29.66,43.3,3,44.31
1/1/1970 0:06,23.52,56.68,2,19.51
1/1/1970 0:06,25.8,50.22,1,66.05
1/1/1970 0:06,23.54,42.44,0,31.15
1/1/1970 0:06,22.01,41.43,3,93.63
1/1/1970 0:06,21.37,42.32,2,6.15
1/1/1970 0:06,21.22,52.16,1,12.03
1/1/1970 0:06,24.48,48.36,0,34.37
1/1/1970 0:06,24.54,41.47,3,32.74
1/1/1970 0:06,29.65,45.51,2,95.5
1/1/1970 0:06,25.37,49.32,1,98.71
1/1/1970 0:06,22.56,59.57,0,35.46
1/1/1970 0:06,28.21,49.3,3,38.69
1/1/1970 0:06,29.34,41.56,2,48.81
1/1/1970 0:06,26.66,55.18,1,43.25
1/1/1970 0:06,29.2,48.88,0,69.42
1/1/1970 0:07,26.88,56.76,3,13.24
1/1/1970 0:07,24.18,53.93,2,64.83
1/1/1970 0:07,23.12,44.48,1,84.49
1/1/1970 0:07,25.95,45.31,0,47
1/1/1970 0:07,26.19,48.32,3,85.96
1/1/1970 0:07,21.79,55.35,2,86.55
1/1/1970 0:07,20.1,40.39,1,28.35
1/1/1970 0:07,24.82,51.72,0,58.93
1/1/1970 0:07,27.56,53.21,3,88.75
1/1/1970 0:07,28.5,45.51,2,21.84
1/1/1970 0:07,24.52,55.39,1,92.48
1/1/1970 0:07,27.04,55.91,0,11.96
1/1/1970 0:07,22.55,47.91,3,97.87
1/1/1970 0:07,22.08,56.04,2,61.44
1/1/1970 0:07,25.43,48.76,1,40.08
1/1/1970 0:07,22.59,43.78,0,19.61
1/1/1970 0:07,27.92,47.9,3,89.73
1/1/1970 0:07,28.5,45.99,2,16.07
1/1/1970 0:07,27.09,50.67,1,11.54
1/1/1970 0:07,22.72,41.73,0,46.49
1/1/1970 0:07,25.37,45.26,3,28.45
1/1/1970 0:07,29.54,46.41,2,75.75
1/1/1970 0:07,25.95,48.58,1,55.84
1/1/1970 0:07,23.35,48.1,0,38.8
1/1/1970 0:07,24.99,53.27,3,59.45
1/1/1970 0:07,20.73,50,2,9.73
1/1/1970 0:07,28.48,56.29,1,25.12
1/1/1970 0:07,21.31,44.69,0,98.11
1/1/1970 0:07,21.7,48.53,3,58.84
1/1/1970 0:07,28.3,57.28,2,47.76
1/1/1970 0:07,25.93,50.87,1,10.38
1/1/1970 0:07,22.65,52.43,0,95.45
1/1/1970 0:07,23.36,44.64,3,1.27
1/1/1970 0:07,23.36,55.27,2,98.35
1/1/1970 0:07,20.34,42.99,1,32.77
1/1/1970 0:07,21.32,47.13,0,48.95
1/1/1970 0:07,20.3,58.79,3,78.27
1/1/1970 0:07,29.94,56.56,2,73.8
1/1/1970 0:07,27.8,59.27,1,76.33
1/1/1970 0:07,23.56,51.11,0,30.92
1/1/1970 0:07,25.77,44.16,3,70.52
1/1/1970 0:07,28.68,47.44,2,91.27
1/1/1970 0:07,20.05,45.69,1,77.04
1/1/1970 0:07,28.94,52.89,0,59.04
1/1/1970 0:07,20.82,58.71,3,14.08
1/1/1970 0:07,23.84,42.32,2,21.33
1/1/1970 0:07,22.37,59.64,1,16.62
1/1/1970 0:07,24.05,48.53,0,96.25
1/1/1970 0:07,21.93,57.68,3,63.8
1/1/1970 0:07,25.61,43.14,2,93.33
1/1/1970 0:07,26.07,44.95,1,58.17
1/1/1970 0:07,27.75,59.27,0,31.8
1/1/1970 0:07,24.66,50.27,3,68.17
1/1/1970 0:07,29.01,41.16,2,89.49
1/1/1970 0:07,25.81,49.82,1,31.72
1/1/1970 0:07,27.74,57.27,0,37.58
1/1/1970 0:07,20.1,53.2,3,7.77
1/1/1970 0:07,28.44,40.94,2,64.36
1/1/1970 0:07,23.49,42.54,1,99.91
1/1/1970 0:07,29.18,54.58,0,8.49
1/1/1970 0:08,20.81,50.09,3,6.16
1/1/1970 0:08,24.7,41.66,2,45.68
1/1/1970 0:08,22.91,44.12,1,78.1
1/1/1970 0:08,23.01,56.71,0,81.26
1/1/1970 0:08,21.98,47.93,3,7.57
1/1/1970 0:08,29.7,43.87,2,94.09
1/1/1970 0:08,22,59.3,1,61.97
1/1/1970 0:08,24.91,41.36,0,86.6
1/1/1970 0:08,29.28,51.54,3,53.05
1/1/1970 0:08,20.32,49,2,0.23
1/1/1970 0:08,24.65,57.71,1,94.08
1/1/1970 0:08,20.83,55.91,0,80.59
1/1/1970 0:08,22.28,52.91,3,34.86
1/1/1970 0:08,25.67,41.8,2,25.99
1/1/1970 0:08,27.77,46.27,1,22.39
1/1/1970 0:08,21.32,44.76,0,40.76
1/1/1970 0:08,25.55,45.96,3,77.5
1/1/1970 0:08,24.28,52.77,2,33.86
1/1/1970 0:08,22.56,46.32,1,33.59
1/1/1970 0:08,22.27,49.88,0,11.44
1/1/1970 0:08,25.99,46.32,3,14.64
1/1/1970 0:08,24.47,44.4,2,46.68
1/1/1970 0:08,24.79,59.85,1,28.03
1/1/1970 0:08,20.27,59.34,0,30.59
1/1/1970 0:08,29.38,46.36,3,93.22
1/1/1970 0:08,28.69,40.81,2,67.04
1/1/1970 0:08,29.78,56.25,1,41.23
1/1/1970 0:08,22.68,47.28,0,3.99
1/1/1970 0:08,25.33,47.95,3,71.02
1/1/1970 0:08,25.98,46.83,2,75.17
1/1/1970 0:08,26.8,54.73,1,32.21
1/1/1970 0:08,29.24,58.98,0,11.76
1/1/1970 0:08,28.66,54.18,3,30.67
1/1/1970 0:08,20.77,47.01,2,94.38
1/1/1970 0:08,28.52,57.44,1,24.67
1/1/1970 0:08,20.07,49.68,0,77.21
1/1/1970 0:08,21.42,49.8,3,66.17
1/1/1970 0:08,29.95,49.49,2,42.61
1/1/1970 0:08,21.03,51.95,1,1.34
1/1/1970 0:08,29.84,51.32,0,91.6
1/1/1970 0:08,21.32,49.44,3,31.98
1/1/1970 0:08,24.57,49.98,2,63.29
1/1/1970 0:08,24.91,56.9,1,75.82
1/1/1970 0:08,27.89,50.89,0,1.47
1/1/1970 0:08,20.99,49.97,3,76.07
1/1/1970 0:08,26.51,40.56,2,71.67
1/1/1970 0:08,22.66,51.58,1,17.61
1/1/1970 0:08,20.87,58.59,0,2.96
1/1/1970 0:08,21.94,41.38,3,3.27
1/1/1970 0:08,22.42,57.43,2,50.1
1/1/1970 0:08,20.97,43.74,1,93.17
1/1/1970 0:08,25.21,54.12,0,77.21
1/1/1970 0:08,22.14,52.65,3,81.61
1/1/1970 0:08,23.64,53.38,2,41.34
1/1/1970 0:08,27.88,52.17,1,60.76
1/1/1970 0:08,21.05,43.56,0,54.33
1/1/1970 0:08,28.29,47.97,3,5.45
1/1/1970 0:08,29.32,49.66,2,17.12
1/1/1970 0:08,28.3,55.79,1,52.8
1/1/1970 0:08,27.62,41.51,0,70.95
1/1/1970 0:09,23.92,42.76,3,63.65
1/1/1970 0:09,20.79,57.91,2,90.83
1/1/1970 0:09,21.63,50.07,1,87.6
1/1/1970 0:09,29.34,44.62,0,12.37
1/1/1970 0:09,21.33,53.66,3,16.22
1/1/1970 0:09,21.03,41.6,2,13.26
1/1/1970 0:09,20.46,44.15,1,97.54
1/1/1970 0:09,21.04,52.71,0,75.19
1/1/1970 0:09,26.92,52.32,3,94.84
1/1/1970 0:09,25.34,50.13,2,3.51
1/1/1970 0:09,27.19,53.86,1,92.98
1/1/1970 0:09,29.18,51.68,0,45.49
1/1/1970 0:09,29.44,52.91,3,13.06
1/1/1970 0:09,28.02,59.07,2,60.68
1/1/1970 0:09,28.18,56.48,1,43.42
1/1/1970 0:09,29.36,55.03,0,68.12
1/1/1970 0:09,23.1,58.42,3,40.34
1/1/1970 0:09,22.34,58.51,2,98.47
1/1/1970 0:09,20.58,57.7,1,13.3
1/1/1970 0:09,21.79,48.09,0,49.25
